baseline_seg,interf_seg,sys,n,delta_median,delta_mean,delta_p25,delta_p75,n_increase,n_decrease
无干扰 #1,409MHz 干扰,BDS,14,0.0,0.011999999999999997,0.0,0.031499999999999986,4,2
无干扰 #1,409MHz 干扰,GAL,8,0.0,0.020999999999999998,0.0,0.020999999999999998,2,0
无干扰 #1,409MHz 干扰,GLO,5,0.0,0.008399999999999996,0.0,0.0,1,0
无干扰 #1,409MHz 干扰,GPS,8,0.0,0.015749999999999997,0.0,0.010499999999999995,2,0
无干扰 #1,409MHz 干扰,QZS,3,0.0,0.042333333333333334,0.0,0.0635,1,0
无干扰 #2,392MHz 干扰,BDS,14,0.0,0.031607142857142854,0.0,0.058124999999999996,6,0
无干扰 #2,392MHz 干扰,GAL,8,0.0,0.0315,0.0,0.08399999999999999,3,0
无干扰 #2,392MHz 干扰,GLO,5,0.0,0.008399999999999996,0.0,0.0,1,0
无干扰 #2,392MHz 干扰,GPS,8,0.0,0.015749999999999997,0.0,0.010499999999999995,2,0
无干扰 #2,392MHz 干扰,QZS,3,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,BDS,14,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,GAL,8,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,GLO,6,0.0,0.0,0.0,0.0,0,0
无干扰 #3,4G/5G 干扰,GPS,8,0.0,0.0079375,0.0,0.0,1,0
无干扰 #3,4G/5G 干扰,QZS,3,0.0,-0.042333333333333334,-0.0635,0.0,0,1
无干扰 #4,Wi-Fi 干扰,BDS,14,0.0,-0.0030000000000000005,0.0,0.0,1,1
无干扰 #4,Wi-Fi 干扰,GAL,8,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,GLO,6,0.0,0.0,0.0,0.0,0,0
无干扰 #4,Wi-Fi 干扰,GPS,8,0.0,0.0079375,0.0,0.0,1,1
无干扰 #4,Wi-Fi 干扰,QZS,3,0.0,-0.042333333333333334,-0.0635,0.0,0,1
