segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #1,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,477.140625,46.0
无干扰 #1,BDS10,BDS,150,0.253,0.253,0.001953125,561.1875,45.0
无干扰 #1,BDS12,BDS,100,0.169,0.169,0.001953125,518.546875,48.0
无干扰 #1,BDS19,BDS,150,0.169,0.253,0.001953125,479.328125,47.0
无干扰 #1,BDS2,BDS,100,0.253,0.253,0.001953125,244.140625,40.5
无干扰 #1,BDS20,BDS,150,0.253,0.253,0.001953125,479.234375,45.0
无干扰 #1,BDS22,BDS,150,0.253,0.253,0.001953125,476.09375,43.0
无干扰 #1,BDS3,BDS,100,0.21100000000000002,0.253,0.001953125,477.046875,46.0
无干扰 #1,BDS36,BDS,150,0.169,0.253,0.001953125,479.328125,48.0
无干扰 #1,BDS39,BDS,150,0.253,0.253,0.001953125,478.78125,44.0
无干扰 #1,BDS4,BDS,100,0.253,0.253,0.001953125,477.5,44.0
无干扰 #1,BDS6,BDS,100,0.21100000000000002,0.253,0.001953125,523.734375,47.0
无干扰 #1,BDS7,BDS,100,0.253,0.253,0.001953125,519.875,47.0
无干扰 #1,BDS9,BDS,150,0.253,0.253,0.001953125,491.890625,45.0
无干扰 #1,GAL15,GAL,150,0.253,0.253,0.001953125,477.046875,42.0
无干扰 #1,GAL2,GAL,150,0.169,0.253,0.001953125,486.140625,48.0
无干扰 #1,GAL25,GAL,150,0.253,0.253,0.001953125,484.59375,44.0
无干扰 #1,GAL3,GAL,150,0.169,0.253,0.001953125,479.328125,48.0
无干扰 #1,GAL30,GAL,150,0.253,0.253,0.001953125,83.984375,41.0
无干扰 #1,GAL32,GAL,150,0.169,0.253,0.001953125,479.140625,48.0
无干扰 #1,GAL5,GAL,150,0.253,0.253,0.001953125,13.9375,41.0
无干扰 #1,GAL8,GAL,150,0.253,0.253,0.001953125,237.890625,40.0
无干扰 #1,GLO41,GLO,100,0.253,0.253,0.001953125,515.03125,43.0
无干扰 #1,GLO42,GLO,100,0.21100000000000002,0.253,0.001953125,522.890625,47.0
无干扰 #1,GLO43,GLO,100,0.253,0.253,0.001953125,524.34375,45.0
无干扰 #1,GLO46,GLO,100,0.253,0.253,0.001953125,153.984375,41.5
无干扰 #1,GLO52,GLO,78,0.38,0.57,0.00390625,0.0,24.0
无干扰 #1,GLO53,GLO,100,0.253,0.253,0.001953125,519.984375,45.0
无干扰 #1,GPS10,GPS,150,0.253,0.253,0.001953125,510.484375,46.0
无干扰 #1,GPS12,GPS,100,0.21100000000000002,0.253,0.001953125,530.078125,45.0
无干扰 #1,GPS13,GPS,100,0.253,0.253,0.001953125,721.4375,44.0
无干扰 #1,GPS23,GPS,150,0.253,0.253,0.001953125,490.78125,44.0
无干扰 #1,GPS25,GPS,150,0.169,0.253,0.001953125,560.78125,47.0
无干扰 #1,GPS28,GPS,150,0.253,0.253,0.001953125,471.140625,40.0
无干扰 #1,GPS31,GPS,100,0.253,0.57,0.001953125,22.78125,33.5
无干扰 #1,GPS32,GPS,150,0.253,0.253,0.001953125,560.390625,46.0
无干扰 #1,QZS194,QZS,150,0.253,0.253,0.001953125,491.59375,42.0
无干扰 #1,QZS195,QZS,150,0.253,0.38,0.001953125,2.5,32.0
无干扰 #1,QZS199,QZS,150,0.253,0.253,0.001953125,492.484375,45.0
409MHz 干扰,BDS1,BDS,66,0.253,0.38,0.001953125,527.1875,47.0
409MHz 干扰,BDS10,BDS,122,0.253,0.38,0.001953125,13.1875,41.5
