segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #1,BDS1,BDS,100,0.253,0.253,0.001953125,139.59375,45.5
无干扰 #1,BDS10,BDS,150,0.253,0.253,0.001953125,137.78125,43.0
无干扰 #1,BDS12,BDS,100,0.253,0.253,0.001953125,139.546875,45.5
无干扰 #1,BDS16,BDS,50,0.38,0.38,0.00390625,0.09375,23.0
无干扰 #1,BDS19,BDS,150,0.169,0.253,0.001953125,139.734375,47.0
无干扰 #1,BDS2,BDS,100,0.253,0.253,0.001953125,138.546875,41.5
无干扰 #1,BDS20,BDS,150,0.253,0.253,0.001953125,139.234375,44.5
无干扰 #1,BDS22,BDS,150,0.253,0.253,0.001953125,90.78125,39.5
无干扰 #1,BDS3,BDS,82,0.253,0.253,0.001953125,136.890625,46.0
无干扰 #1,BDS36,BDS,150,0.253,0.253,0.001953125,139.328125,46.0
无干扰 #1,BDS39,BDS,150,0.253,0.253,0.001953125,139.734375,46.0
无干扰 #1,BDS4,BDS,100,0.253,0.253,0.001953125,138.375,42.0
无干扰 #1,BDS6,BDS,100,0.253,0.253,0.001953125,140.375,44.5
无干扰 #1,BDS7,BDS,100,0.253,0.253,0.001953125,138.6875,45.0
无干扰 #1,BDS9,BDS,150,0.253,0.253,0.001953125,139.0,42.0
无干扰 #1,GAL15,GAL,150,0.253,0.253,0.001953125,136.140625,43.0
无干扰 #1,GAL2,GAL,150,0.169,0.253,0.001953125,139.9375,47.0
无干扰 #1,GAL25,GAL,150,0.253,0.253,0.001953125,139.09375,45.0
无干扰 #1,GAL3,GAL,150,0.253,0.253,0.001953125,140.140625,45.0
无干扰 #1,GAL30,GAL,150,0.253,0.253,0.001953125,59.09375,40.0
无干扰 #1,GAL32,GAL,150,0.253,0.253,0.001953125,138.328125,46.0
无干扰 #1,GAL5,GAL,150,0.253,0.253,0.001953125,7.6875,42.0
无干扰 #1,GAL8,GAL,142,0.253,0.253,0.001953125,9.484375,39.0
无干扰 #1,GLO78,GLO,100,0.253,0.253,0.001953125,138.484375,42.5
无干扰 #1,GLO79,GLO,100,0.253,0.253,0.001953125,140.28125,45.5
无干扰 #1,GLO80,GLO,100,0.253,0.253,0.001953125,54.6875,43.0
无干扰 #1,GLO83,GLO,100,0.253,0.253,0.001953125,110.6875,43.0
无干扰 #1,GLO89,GLO,50,0.38,0.38,0.00390625,0.09375,28.0
无干扰 #1,GLO90,GLO,100,0.253,0.253,0.001953125,138.828125,43.0
无干扰 #1,GPS10,GPS,150,0.253,0.253,0.001953125,139.328125,46.0
无干扰 #1,GPS12,GPS,100,0.253,0.253,0.001953125,139.9375,43.0
无干扰 #1,GPS13,GPS,100,0.253,0.253,0.001953125,139.640625,41.5
无干扰 #1,GPS23,GPS,150,0.253,0.253,0.001953125,140.1875,44.0
无干扰 #1,GPS25,GPS,150,0.253,0.253,0.001953125,139.234375,46.0
无干扰 #1,GPS28,GPS,150,0.253,0.253,0.001953125,114.28125,36.0
无干扰 #1,GPS31,GPS,100,0.253,0.253,0.001953125,13.03125,33.5
无干扰 #1,GPS32,GPS,150,0.253,0.253,0.001953125,138.640625,43.0
无干扰 #1,QZS194,QZS,150,0.253,0.253,0.001953125,139.328125,43.0
无干扰 #1,QZS195,QZS,140,0.38,0.38,0.001953125,0.9375,31.0
无干扰 #1,QZS199,QZS,150,0.253,0.253,0.001953125,140.328125,44.0
409MHz 干扰,BDS1,BDS,68,0.253,0.253,0.001953125,189.484375,46.0
409MHz 干扰,BDS10,BDS,150,0.253,0.38,0.001953125,187.1875,40.0
409MHz 干扰,BDS12,BDS,100,0.253,0.253,0.001953125,190.9375,42.0
409MHz 干扰,BDS16,BDS,50,0.38,0.38,0.00390625,0.0,23.0
409MHz 干扰,BDS19,BDS,126,0.253,0.253,0.001953125,18.78125,39.0
409MHz 干扰,BDS2,BDS,71,0.253,0.38,0.001953125,188.375,42.0
409MHz 干扰,BDS20,BDS,140,0.253,0.253,0.001953125,4.234375,38.0
409MHz 干扰,BDS22,BDS,150,0.253,0.38,0.001953125,1.4375,34.0
409MHz 干扰,BDS3,BDS,70,0.253,0.38,0.001953125,189.484375,46.0
409MHz 干扰,BDS36,BDS,150,0.253,0.253,0.001953125,18.59375,42.0
409MHz 干扰,BDS39,BDS,150,0.253,0.38,0.001953125,18.59375,38.0
409MHz 干扰,BDS4,BDS,72,0.253,0.38,0.001953125,188.890625,44.0
409MHz 干扰,BDS6,BDS,100,0.253,0.253,0.001953125,100.25,41.0
409MHz 干扰,BDS7,BDS,100,0.253,0.253,0.001953125,97.484375,41.5
409MHz 干扰,BDS9,BDS,150,0.253,0.253,0.001953125,188.1875,40.0
409MHz 干扰,GAL15,GAL,150,0.253,0.38,0.001953125,18.59375,43.0
409MHz 干扰,GAL2,GAL,150,0.253,0.253,0.001953125,188.375,45.0
409MHz 干扰,GAL25,GAL,150,0.253,0.253,0.001953125,188.1875,44.0
409MHz 干扰,GAL3,GAL,150,0.253,0.253,0.001953125,189.328125,43.0
409MHz 干扰,GAL30,GAL,150,0.253,0.38,0.001953125,11.1875,39.0
409MHz 干扰,GAL32,GAL,150,0.253,0.253,0.001953125,19.640625,45.0
409MHz 干扰,GAL5,GAL,144,0.253,0.38,0.001953125,5.59375,42.0
409MHz 干扰,GAL8,GAL,143,0.253,0.38,0.001953125,8.28125,35.0
409MHz 干扰,GLO78,GLO,100,0.253,0.38,0.001953125,95.140625,41.5
409MHz 干扰,GLO79,GLO,100,0.253,0.253,0.001953125,103.984375,43.0
409MHz 干扰,GLO80,GLO,100,0.253,0.57,0.001953125,14.78125,41.5
409MHz 干扰,GLO83,GLO,100,0.253,0.253,0.001953125,82.140625,41.0
409MHz 干扰,GLO89,GLO,44,0.38,0.38,0.00390625,0.0,27.0
409MHz 干扰,GLO90,GLO,100,0.253,0.38,0.001953125,96.4375,40.5
409MHz 干扰,GPS10,GPS,100,0.253,0.253,0.001953125,191.140625,42.0
409MHz 干扰,GPS12,GPS,50,0.253,0.253,0.001953125,192.984375,46.0
409MHz 干扰,GPS13,GPS,50,0.253,0.253,0.001953125,192.1875,41.0
409MHz 干扰,GPS23,GPS,100,0.253,0.253,0.001953125,189.9375,39.5
409MHz 干扰,GPS25,GPS,100,0.253,0.253,0.001953125,191.234375,41.0
409MHz 干扰,GPS28,GPS,100,0.253,0.253,0.001953125,31.734375,36.0
409MHz 干扰,GPS31,GPS,50,0.253,0.253,0.001953125,6.1875,34.0
409MHz 干扰,GPS32,GPS,100,0.253,0.253,0.001953125,190.140625,41.5
409MHz 干扰,QZS194,QZS,100,0.253,0.253,0.001953125,98.9375,37.0
409MHz 干扰,QZS195,QZS,50,0.38,0.38,0.00390625,0.140625,26.0
409MHz 干扰,QZS199,QZS,90,0.253,0.253,0.001953125,187.484375,37.0
无干扰 #2,BDS1,BDS,100,0.253,0.253,0.001953125,121.84375,45.0
无干扰 #2,BDS10,BDS,150,0.253,0.253,0.001953125,224.78125,44.0
无干扰 #2,BDS12,BDS,100,0.253,0.253,0.001953125,126.390625,45.0
无干扰 #2,BDS16,BDS,50,0.38,0.38,0.00390625,0.0,22.0
无干扰 #2,BDS19,BDS,150,0.253,0.253,0.001953125,25.09375,46.0
无干扰 #2,BDS2,BDS,100,0.253,0.253,0.001953125,121.484375,41.5
无干扰 #2,BDS20,BDS,150,0.253,0.253,0.001953125,18.046875,45.0
无干扰 #2,BDS22,BDS,150,0.253,0.253,0.001953125,17.734375,39.0
无干扰 #2,BDS3,BDS,81,0.253,0.253,0.001953125,226.0,46.0
无干扰 #2,BDS36,BDS,150,0.253,0.253,0.001953125,56.1875,46.0
无干扰 #2,BDS39,BDS,150,0.253,0.253,0.001953125,56.1875,44.0
无干扰 #2,BDS4,BDS,100,0.253,0.253,0.001953125,121.1875,42.5
无干扰 #2,BDS6,BDS,100,0.253,0.253,0.001953125,123.1875,43.0
无干扰 #2,BDS7,BDS,100,0.253,0.253,0.001953125,129.03125,44.5
无干扰 #2,BDS9,BDS,150,0.253,0.253,0.001953125,18.734375,44.0
无干扰 #2,GAL15,GAL,150,0.253,0.253,0.001953125,19.390625,39.0
无干扰 #2,GAL2,GAL,150,0.253,0.253,0.001953125,41.484375,46.0
无干扰 #2,GAL25,GAL,150,0.253,0.253,0.001953125,225.78125,46.0
无干扰 #2,GAL3,GAL,150,0.253,0.253,0.001953125,24.1875,45.0
无干扰 #2,GAL30,GAL,150,0.253,0.253,0.001953125,18.09375,40.0
无干扰 #2,GAL32,GAL,150,0.169,0.253,0.001953125,56.1875,47.0
无干扰 #2,GAL5,GAL,150,0.253,0.253,0.001953125,18.546875,43.0
无干扰 #2,GAL8,GAL,150,0.253,0.253,0.001953125,17.875,40.0
无干扰 #2,GLO78,GLO,100,0.253,0.38,0.001953125,8.890625,39.5
无干扰 #2,GLO79,GLO,100,0.21100000000000002,0.253,0.001953125,122.484375,45.5
无干扰 #2,GLO80,GLO,100,0.21100000000000002,0.253,0.001953125,19.890625,46.5
无干扰 #2,GLO83,GLO,100,0.253,0.253,0.001953125,107.640625,42.0
无干扰 #2,GLO89,GLO,29,0.38,0.38,0.00390625,0.0,28.0
无干扰 #2,GLO90,GLO,100,0.253,0.253,0.001953125,121.78125,43.0
无干扰 #2,GPS10,GPS,150,0.253,0.253,0.001953125,17.140625,45.0
无干扰 #2,GPS12,GPS,100,0.253,0.253,0.001953125,122.140625,44.0
无干扰 #2,GPS13,GPS,100,0.253,0.253,0.001953125,120.125,37.0
无干扰 #2,GPS23,GPS,150,0.253,0.253,0.001953125,17.234375,45.0
无干扰 #2,GPS25,GPS,150,0.253,0.253,0.001953125,17.234375,46.0
无干扰 #2,GPS28,GPS,150,0.253,0.253,0.001953125,16.640625,39.0
无干扰 #2,GPS31,GPS,100,0.253,0.38,0.001953125,12.28125,33.5
无干扰 #2,GPS32,GPS,150,0.253,0.253,0.001953125,17.1875,44.0
无干扰 #2,QZS194,QZS,150,0.253,0.253,0.001953125,44.28125,43.0
无干扰 #2,QZS195,QZS,150,0.253,0.38,0.001953125,4.1875,33.0
无干扰 #2,QZS199,QZS,150,0.253,0.253,0.001953125,33.890625,44.0
392MHz 干扰,BDS1,BDS,100,0.253,0.38,0.001953125,0.28125,33.0
392MHz 干扰,BDS10,BDS,150,0.253,0.38,0.001953125,5.734375,34.0
392MHz 干扰,BDS12,BDS,100,0.253,0.38,0.001953125,9.375,36.0
392MHz 干扰,BDS19,BDS,100,0.253,0.253,0.001953125,16.1875,36.0
392MHz 干扰,BDS2,BDS,75,0.38,0.38,0.00390625,0.0,30.0
392MHz 干扰,BDS20,BDS,100,0.253,0.253,0.001953125,11.546875,35.0
392MHz 干扰,BDS22,BDS,100,0.38,0.38,0.001953125,1.546875,30.0
392MHz 干扰,BDS3,BDS,94,0.253,0.38,0.001953125,0.09375,32.0
392MHz 干扰,BDS36,BDS,100,0.253,0.253,0.001953125,13.78125,35.0
392MHz 干扰,BDS39,BDS,100,0.253,0.38,0.001953125,7.890625,35.0
392MHz 干扰,BDS4,BDS,71,0.38,0.38,0.001953125,0.0,31.0
392MHz 干扰,BDS6,BDS,100,0.253,0.38,0.001953125,4.828125,33.0
392MHz 干扰,BDS7,BDS,100,0.253,0.253,0.001953125,36.78125,34.0
392MHz 干扰,BDS9,BDS,150,0.253,0.38,0.001953125,4.1875,33.0
392MHz 干扰,GAL15,GAL,92,0.253,0.38,0.001953125,1.046875,35.0
392MHz 干扰,GAL2,GAL,100,0.253,0.253,0.001953125,3.375,40.0
392MHz 干扰,GAL25,GAL,100,0.253,0.253,0.001953125,132.390625,38.0
392MHz 干扰,GAL3,GAL,81,0.253,0.38,0.001953125,262.5,39.0
392MHz 干扰,GAL30,GAL,70,0.253,0.38,0.001953125,0.09375,34.0
392MHz 干扰,GAL32,GAL,100,0.253,0.253,0.001953125,177.734375,40.0
392MHz 干扰,GAL5,GAL,77,0.253,0.38,0.001953125,0.6875,33.0
392MHz 干扰,GAL8,GAL,50,0.253,0.38,0.001953125,1.390625,34.5
392MHz 干扰,GLO78,GLO,50,0.253,0.253,0.001953125,51.484375,42.0
392MHz 干扰,GLO79,GLO,100,0.253,0.253,0.001953125,30.9375,41.0
392MHz 干扰,GLO80,GLO,100,0.253,0.253,0.001953125,19.1875,43.0
392MHz 干扰,GLO83,GLO,82,0.253,0.57,0.001953125,47.984375,42.0
392MHz 干扰,GLO90,GLO,100,0.253,0.38,0.001953125,27.296875,39.5
392MHz 干扰,GPS10,GPS,100,0.253,0.253,0.001953125,157.09375,42.0
392MHz 干扰,GPS12,GPS,100,0.253,0.253,0.001953125,157.734375,41.0
392MHz 干扰,GPS13,GPS,100,0.253,0.38,0.001953125,3.5,33.0
392MHz 干扰,GPS23,GPS,100,0.253,0.253,0.001953125,50.09375,40.5
392MHz 干扰,GPS25,GPS,100,0.253,0.253,0.001953125,139.234375,40.0
392MHz 干扰,GPS28,GPS,100,0.253,0.38,0.001953125,14.890625,36.0
392MHz 干扰,GPS31,GPS,100,0.38,0.38,0.00390625,0.1875,30.0
392MHz 干扰,GPS32,GPS,100,0.253,0.253,0.001953125,138.9375,39.0
392MHz 干扰,QZS194,QZS,100,0.253,0.253,0.001953125,48.09375,39.5
392MHz 干扰,QZS195,QZS,50,0.253,0.253,0.001953125,3.984375,34.0
392MHz 干扰,QZS199,QZS,100,0.253,0.38,0.001953125,50.09375,39.5
无干扰 #3,BDS1,BDS,100,0.253,0.253,0.001953125,17.1875,45.5
无干扰 #3,BDS10,BDS,150,0.253,0.253,0.001953125,19.1875,44.0
无干扰 #3,BDS12,BDS,100,0.253,0.253,0.001953125,18.1875,46.0
无干扰 #3,BDS19,BDS,150,0.253,0.253,0.001953125,18.140625,46.0
无干扰 #3,BDS2,BDS,79,0.253,0.253,0.001953125,14.375,43.0
无干扰 #3,BDS20,BDS,150,0.253,0.253,0.001953125,20.046875,44.0
无干扰 #3,BDS22,BDS,150,0.253,0.253,0.001953125,16.9375,39.0
无干扰 #3,BDS3,BDS,100,0.253,0.253,0.001953125,17.484375,44.0
无干扰 #3,BDS36,BDS,150,0.253,0.253,0.001953125,20.6875,45.0
无干扰 #3,BDS39,BDS,150,0.253,0.253,0.001953125,16.9375,46.0
无干扰 #3,BDS4,BDS,100,0.253,0.253,0.001953125,17.328125,43.0
无干扰 #3,BDS6,BDS,100,0.253,0.253,0.001953125,17.828125,44.0
无干扰 #3,BDS7,BDS,100,0.253,0.253,0.001953125,18.484375,44.5
无干扰 #3,BDS9,BDS,150,0.253,0.253,0.001953125,18.375,43.0
无干扰 #3,GAL15,GAL,150,0.253,0.253,0.001953125,17.1875,44.0
无干扰 #3,GAL2,GAL,150,0.253,0.253,0.001953125,20.5,46.0
